#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:53:25.945 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514932)\execution_log.txt ...
[02-05-2024T14:53:25.946 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:53:25.946 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:53:25.946 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:53:25.946 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:53:25.947 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:53:25.947 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:53:26.829 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:53:26.829 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:53:26.838 | main] INFO       ... Browser tab (E0A78017EF1AE9FCECFF1452ED303866) allocated to the Home Page page ...
[02-05-2024T14:53:27.833 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:53:28.451 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:53:40.808 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:53:40.809 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:53:53.018 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:53:53.020 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:54:10.507 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[02-05-2024T14:54:10.509 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:54:10.704 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:54:10.704 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:54:10.704 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:54:10.891 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:54:11.072 | main] INFO       ... WebDriver killed ...
