#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:09:44.909 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515890)\execution_log.txt ...
[02-05-2024T15:09:44.913 | main] INFO       ... Initiating new Test Scenario: Verify elements under "Choose Your Industry" are present and clickable ...
[02-05-2024T15:09:44.913 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:09:44.914 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:09:44.915 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:09:44.921 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:09:44.922 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:09:46.274 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:09:46.274 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:09:46.279 | main] INFO       ... Browser tab (03F3AE74B454EDCEFDDD9CA5ED763D4F) allocated to the Home Page page ...
[02-05-2024T15:09:47.342 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:09:47.969 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:10:00.390 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:10:00.392 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:10:00.528 | main] INFO       ... Clicked on Financial Services heading successfully ...
[02-05-2024T15:10:10.726 | main] ERROR      ... Element not clickable within the time frame: Insurance ...
[02-05-2024T15:10:10.744 | main] INFO       ... Clicked on Insurance heading successfully ...
[02-05-2024T15:10:20.931 | main] ERROR      ... Element not clickable within the time frame: Life and Pensions ...
[02-05-2024T15:10:20.949 | main] INFO       ... Clicked on Life and Pensions heading successfully ...
[02-05-2024T15:10:31.111 | main] ERROR      ... Element not clickable within the time frame: Corporations and Non-Profits ...
[02-05-2024T15:10:31.136 | main] INFO       ... Clicked on Corporations and Non-Profits heading successfully ...
[02-05-2024T15:10:31.136 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:10:31.320 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:10:31.320 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:10:31.320 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:10:31.479 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:10:31.656 | main] INFO       ... WebDriver killed ...
