#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:17:42.906 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513895)\execution_log.txt ...
[02-05-2024T13:17:42.907 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:17:42.907 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:17:42.907 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:17:42.907 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:17:42.907 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:17:42.907 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:17:43.657 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:17:43.657 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:17:43.661 | main] INFO       ... Browser tab (934D17386D4CF6D175A26809682D16A2) allocated to the Home Page page ...
[02-05-2024T13:17:45.007 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:17:45.107 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:17:57.564 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:17:57.564 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:18:09.779 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:18:09.781 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:18:26.328 | main] INFO       ... Clicked on subcategory: Financial Crime Compliance ...
[02-05-2024T13:18:26.329 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:18:26.527 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:18:26.527 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:18:26.527 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:18:26.713 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:18:26.964 | main] INFO       ... WebDriver killed ...
