#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:22:07.088 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513078)\execution_log.txt ...
[02-05-2024T13:22:07.088 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:22:07.088 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:22:07.088 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:22:07.089 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:22:07.089 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:22:07.089 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:22:07.760 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:22:07.761 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:22:07.765 | main] INFO       ... Browser tab (7981B0D75B3C59BE21219B5E1A8424C3) allocated to the Home Page page ...
[02-05-2024T13:22:09.058 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:22:09.660 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:22:21.967 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:22:21.969 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:22:34.163 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:22:34.164 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:22:49.372 | main] INFO       ... Clicked on subcategory: Risk Orchestration ...
[02-05-2024T13:22:49.373 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:22:49.524 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:22:49.524 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:22:49.524 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:22:49.676 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:22:49.855 | main] INFO       ... WebDriver killed ...
