#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:19:56.181 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513173)\execution_log.txt ...
[02-05-2024T13:19:56.181 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:19:56.181 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:19:56.181 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:19:56.182 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:19:56.182 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:19:56.182 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:19:56.849 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:19:56.850 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:19:56.853 | main] INFO       ... Browser tab (B7FC8005B7478CBFB9E3EC341313EBCB) allocated to the Home Page page ...
[02-05-2024T13:19:58.168 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:19:58.779 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:20:11.129 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:20:11.130 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:20:23.320 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:20:23.322 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:20:39.013 | main] INFO       ... Clicked on subcategory: Credit Risk Assessment ...
[02-05-2024T13:20:39.015 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:20:39.205 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:20:39.205 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:20:39.205 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:20:39.369 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:20:39.620 | main] INFO       ... WebDriver killed ...
