#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:16:14.311 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515302)\execution_log.txt ...
[02-05-2024T15:16:14.311 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T15:16:14.311 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:16:14.312 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:16:14.312 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:16:14.312 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:16:14.312 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:16:15.003 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:16:15.003 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:16:15.005 | main] INFO       ... Browser tab (0448FC2016DA50217321ACF43C7BBD08) allocated to the Home Page page ...
[02-05-2024T15:16:15.819 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:16:16.467 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:16:28.823 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:16:28.824 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:16:40.999 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:16:41.000 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:16:54.887 | main] INFO       ... Clicked on subcategory: Home Insurance Solutions ...
[02-05-2024T15:16:54.888 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:16:55.053 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:16:55.053 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:16:55.053 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:16:55.237 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:16:55.416 | main] INFO       ... WebDriver killed ...
