#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:38:12.119 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513113)\execution_log.txt ...
[02-05-2024T13:38:12.119 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:38:12.120 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:38:12.120 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:38:12.120 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:38:12.120 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:38:12.120 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:38:12.822 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:38:12.822 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:38:12.826 | main] INFO       ... Browser tab (E0BF7D2BDCD918D69369D088C4DA271D) allocated to the Home Page page ...
[02-05-2024T13:38:14.190 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:38:14.292 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:38:26.666 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:38:26.668 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:38:38.859 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:38:38.862 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:38:54.501 | main] INFO       ... Clicked on subcategory: Risk Orchestration ...
[02-05-2024T13:38:54.501 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:38:54.640 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:38:54.641 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:38:54.641 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:38:54.770 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:38:54.952 | main] INFO       ... WebDriver killed ...
