#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:17:38.411 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515404)\execution_log.txt ...
[02-05-2024T15:17:38.411 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T15:17:38.411 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:17:38.411 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:17:38.412 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:17:38.412 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:17:38.412 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:17:39.154 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:17:39.154 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:17:39.156 | main] INFO       ... Browser tab (57E6C3BA176D5282C9409C1071FB0016) allocated to the Home Page page ...
[02-05-2024T15:17:40.171 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:17:40.778 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:17:53.109 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:17:53.110 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:18:05.295 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:18:05.296 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:18:19.405 | main] INFO       ... Clicked on subcategory: Commercial Motor Insurance ...
[02-05-2024T15:18:19.406 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:18:19.527 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:18:19.527 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:18:19.527 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:18:19.664 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:18:19.810 | main] INFO       ... WebDriver killed ...
