#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:59:13.993 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514970)\execution_log.txt ...
[02-05-2024T14:59:13.994 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:59:13.995 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:59:13.995 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:59:13.996 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:59:13.996 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:59:13.997 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:59:14.754 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:59:14.754 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:59:14.758 | main] INFO       ... Browser tab (064D64C725ED1CA335F326D770B6FEE1) allocated to the Home Page page ...
[02-05-2024T14:59:15.606 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:59:16.284 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:59:28.738 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:59:28.738 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:59:41.023 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:59:41.023 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:59:56.623 | main] INFO       ... Clicked on subcategory: Motor Insurance Solutions ...
[02-05-2024T14:59:56.624 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:59:56.900 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:59:56.900 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:59:56.900 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:59:57.186 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:59:57.567 | main] INFO       ... WebDriver killed ...
