#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:33:02.769 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513753)\execution_log.txt ...
[02-05-2024T13:33:02.773 | main] INFO       ... Initiating new Test Scenario: Verify elements under "Choose Your Industry" are present and clickable ...
[02-05-2024T13:33:02.773 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:33:02.775 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:33:02.776 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:33:02.783 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:33:02.785 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:33:04.143 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:33:04.143 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:33:04.149 | main] INFO       ... Browser tab (03A1EF6283D7A1856B6C1291FA83379D) allocated to the Home Page page ...
[02-05-2024T13:33:05.658 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:33:05.762 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:33:18.179 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:33:18.183 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:33:18.339 | main] INFO       ... Clicked on Financial Services heading successfully ...
[02-05-2024T13:33:28.462 | main] ERROR      ... Element not clickable within the time frame: Insurance ...
[02-05-2024T13:33:28.480 | main] INFO       ... Clicked on Insurance heading successfully ...
[02-05-2024T13:33:38.639 | main] ERROR      ... Element not clickable within the time frame: Life and Pensions ...
[02-05-2024T13:33:38.657 | main] INFO       ... Clicked on Life and Pensions heading successfully ...
[02-05-2024T13:33:48.799 | main] ERROR      ... Element not clickable within the time frame: Corporations and Non-Profits ...
[02-05-2024T13:33:48.822 | main] INFO       ... Clicked on Corporations and Non-Profits heading successfully ...
[02-05-2024T13:33:48.826 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:33:48.975 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:33:48.976 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:33:48.976 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:33:49.129 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:33:50.074 | main] INFO       ... WebDriver killed ...
