#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:57:03.978 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514959)\execution_log.txt ...
[02-05-2024T14:57:03.978 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:57:03.978 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:57:03.978 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:57:03.978 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:57:03.978 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:57:03.978 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:57:04.633 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:57:04.633 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:57:04.633 | main] INFO       ... Browser tab (37C05648984A62CB673F362DE991E7A2) allocated to the Home Page page ...
[02-05-2024T14:57:05.701 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:57:05.805 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:57:18.180 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:57:18.182 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:57:30.365 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:57:30.366 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:57:44.664 | main] INFO       ... Clicked on subcategory: Risk Orchestration ...
[02-05-2024T14:57:44.665 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:57:44.820 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:57:44.820 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:57:44.820 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:57:44.964 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:57:45.170 | main] INFO       ... WebDriver killed ...
