#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:38:54.972 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513958)\execution_log.txt ...
[02-05-2024T13:38:54.972 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:38:54.973 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:38:54.973 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:38:54.973 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:38:54.973 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:38:54.973 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:38:55.724 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:38:55.724 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:38:55.727 | main] INFO       ... Browser tab (D3FF1248A8C8127A1C513BFA8346CD82) allocated to the Home Page page ...
[02-05-2024T13:38:57.373 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:38:57.460 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:39:09.824 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:39:09.825 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:39:22.000 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:39:22.001 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:39:39.392 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[02-05-2024T13:39:39.392 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:39:39.580 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:39:39.581 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:39:39.581 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:39:39.775 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:39:40.010 | main] INFO       ... WebDriver killed ...
