#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:54:11.091 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514079)\execution_log.txt ...
[02-05-2024T14:54:11.091 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:54:11.091 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:54:11.091 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:54:11.092 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:54:11.092 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:54:11.092 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:54:11.867 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:54:11.868 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:54:11.871 | main] INFO       ... Browser tab (54DE573C45C3453146D5A6A68B3CD8A6) allocated to the Home Page page ...
[02-05-2024T14:54:12.873 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:54:13.477 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:54:25.844 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:54:25.845 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:54:38.024 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:54:38.026 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:54:53.310 | main] INFO       ... Clicked on subcategory: Customer Data Management ...
[02-05-2024T14:54:53.310 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:54:53.514 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:54:53.514 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:54:53.514 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:54:53.691 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:54:53.873 | main] INFO       ... WebDriver killed ...
