#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T11:33:14.338 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T11_17_07_000\Test(020511311)\execution_log.txt ...
[02-05-2024T11:33:14.338 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T11:33:14.338 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T11:33:14.338 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T11:33:14.338 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T11:33:14.338 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T11:33:14.338 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T11:33:15.485 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T11:33:15.486 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T11:33:15.509 | main] INFO       ... Browser tab (35CE588A54FFCC9FBF52D151C929F85D) allocated to the Home Page page ...
[02-05-2024T11:33:17.269 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T11:33:17.446 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:33:30.124 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:33:30.124 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:33:42.521 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:33:42.522 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:34:01.690 | main] INFO       ... Clicked on subcategory: Investigations and Due Diligence ...
[02-05-2024T11:34:01.692 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:34:02.154 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T11:34:02.154 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T11:34:02.154 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T11:34:02.741 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T11:34:03.184 | main] INFO       ... WebDriver killed ...
