#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:40:21.785 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513778)\execution_log.txt ...
[02-05-2024T13:40:21.785 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:40:21.785 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:40:21.785 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:40:21.785 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:40:21.786 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:40:21.786 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:40:22.497 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:40:22.497 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:40:22.499 | main] INFO       ... Browser tab (AC4C912C23E5028A18C7627CFA269626) allocated to the Home Page page ...
[02-05-2024T13:40:24.460 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:40:24.548 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:40:36.884 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:40:36.885 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:40:49.062 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:40:49.062 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:41:04.384 | main] INFO       ... Clicked on subcategory: Motor Insurance Solutions ...
[02-05-2024T13:41:04.384 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:41:04.573 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:41:04.574 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:41:04.574 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:41:04.743 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:41:04.922 | main] INFO       ... WebDriver killed ...
