#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:11:14.923 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515911)\execution_log.txt ...
[02-05-2024T15:11:14.923 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T15:11:14.923 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:11:14.923 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:11:14.923 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:11:14.923 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:11:14.923 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:11:15.647 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:11:15.648 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:11:15.652 | main] INFO       ... Browser tab (DC8E49367A62B6F84C72E887B3462FA7) allocated to the Home Page page ...
[02-05-2024T15:11:16.612 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:11:17.241 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:11:29.604 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:11:29.608 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:11:41.799 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:11:41.799 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:11:57.173 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[02-05-2024T15:11:57.175 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:11:57.360 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:11:57.360 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:11:57.360 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:11:57.539 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:11:57.725 | main] INFO       ... WebDriver killed ...
