#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:22:49.880 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513865)\execution_log.txt ...
[02-05-2024T13:22:49.880 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:22:49.880 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:22:49.880 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:22:49.881 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:22:49.881 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:22:49.881 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:22:50.587 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:22:50.587 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:22:50.590 | main] INFO       ... Browser tab (841713EBE1B0CE0CB12E726EA0DA3558) allocated to the Home Page page ...
[02-05-2024T13:22:52.397 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:22:52.488 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:23:04.898 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:23:04.899 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:23:17.144 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:23:17.144 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:23:34.010 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[02-05-2024T13:23:34.012 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:23:34.286 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:23:34.286 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:23:34.287 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:23:34.530 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:23:34.712 | main] INFO       ... WebDriver killed ...
