#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:34:34.458 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513448)\execution_log.txt ...
[02-05-2024T13:34:34.458 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:34:34.458 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:34:34.458 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:34:34.459 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:34:34.459 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:34:34.459 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:34:35.184 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:34:35.184 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:34:35.189 | main] INFO       ... Browser tab (72FC26936FE5DF18F5DDE6EC901E5B30) allocated to the Home Page page ...
[02-05-2024T13:34:36.381 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:34:37.009 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:34:49.343 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:34:49.344 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:35:01.539 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:35:01.540 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:35:17.609 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[02-05-2024T13:35:17.611 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:35:17.795 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:35:17.795 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:35:17.795 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:35:17.997 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:35:18.177 | main] INFO       ... WebDriver killed ...
