#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:59:57.599 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514567)\execution_log.txt ...
[02-05-2024T14:59:57.599 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:59:57.599 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:59:57.599 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:59:57.599 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:59:57.599 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:59:57.599 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:59:58.427 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:59:58.427 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:59:58.431 | main] INFO       ... Browser tab (B47EF85B90B8D808AA1646305A028549) allocated to the Home Page page ...
[02-05-2024T14:59:59.274 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:59:59.912 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:00:12.370 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:00:12.370 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:00:24.666 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:00:24.667 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:00:39.851 | main] INFO       ... Clicked on subcategory: Commercial Motor Insurance ...
[02-05-2024T15:00:39.851 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:00:40.043 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:00:40.043 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:00:40.043 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:00:40.241 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:00:40.551 | main] INFO       ... WebDriver killed ...
