#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:57:45.186 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514170)\execution_log.txt ...
[02-05-2024T14:57:45.188 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:57:45.188 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:57:45.188 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:57:45.189 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:57:45.189 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:57:45.189 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:57:45.824 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:57:45.824 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:57:45.824 | main] INFO       ... Browser tab (E665D3290E94FDE9FE61AE0AB99B1623) allocated to the Home Page page ...
[02-05-2024T14:57:46.679 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:57:47.324 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:57:59.748 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:57:59.749 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:58:12.081 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:58:12.081 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:58:29.418 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[02-05-2024T14:58:29.419 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:58:29.672 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:58:29.672 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:58:29.672 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:58:29.994 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:58:30.266 | main] INFO       ... WebDriver killed ...
