#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:16:56.232 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513205)\execution_log.txt ...
[02-05-2024T13:16:56.237 | main] INFO       ... Initiating new Test Scenario: Verify elements under "Choose Your Industry" are present and clickable ...
[02-05-2024T13:16:56.237 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:16:56.239 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:16:56.239 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:16:56.243 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:16:56.244 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:16:57.760 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:16:57.760 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:16:57.765 | main] INFO       ... Browser tab (70A08BA3B6345564A8B2965258F7AE90) allocated to the Home Page page ...
[02-05-2024T13:16:59.120 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:16:59.250 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:17:11.638 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:17:11.639 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:17:11.804 | main] INFO       ... Clicked on Financial Services heading successfully ...
[02-05-2024T13:17:21.947 | main] ERROR      ... Element not clickable within the time frame: Insurance ...
[02-05-2024T13:17:21.965 | main] INFO       ... Clicked on Insurance heading successfully ...
[02-05-2024T13:17:32.104 | main] ERROR      ... Element not clickable within the time frame: Life and Pensions ...
[02-05-2024T13:17:32.126 | main] INFO       ... Clicked on Life and Pensions heading successfully ...
[02-05-2024T13:17:42.372 | main] ERROR      ... Element not clickable within the time frame: Corporations and Non-Profits ...
[02-05-2024T13:17:42.391 | main] INFO       ... Clicked on Corporations and Non-Profits heading successfully ...
[02-05-2024T13:17:42.394 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:17:42.551 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:17:42.552 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:17:42.552 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:17:42.703 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:17:42.885 | main] INFO       ... WebDriver killed ...
