#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:12:39.084 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515073)\execution_log.txt ...
[02-05-2024T15:12:39.084 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T15:12:39.084 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:12:39.085 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:12:39.085 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:12:39.085 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:12:39.085 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:12:39.779 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:12:39.779 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:12:39.781 | main] INFO       ... Browser tab (6B3C34E0F4389B9AD30CC5C16247CC1D) allocated to the Home Page page ...
[02-05-2024T15:12:40.925 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:12:41.003 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:12:53.376 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:12:53.378 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:13:05.575 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:13:05.576 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:13:20.712 | main] INFO       ... Clicked on subcategory: Credit Risk Assessment ...
[02-05-2024T15:13:20.713 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:13:20.899 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:13:20.899 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:13:20.900 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:13:21.076 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:13:21.252 | main] INFO       ... WebDriver killed ...
