#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T11:28:23.058 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T11_17_07_000\Test(020511995)\execution_log.txt ...
[02-05-2024T11:28:23.058 | main] INFO       ... Initiating new Test Scenario: Verify elements under "Choose Your Industry" are present and clickable ...
[02-05-2024T11:28:23.058 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T11:28:23.094 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T11:28:23.094 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T11:28:23.138 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T11:28:23.138 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T11:28:27.586 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T11:28:27.586 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T11:28:27.597 | main] INFO       ... Browser tab (2321844050C62B49F49C5C72DCD59035) allocated to the Home Page page ...
[02-05-2024T11:28:29.497 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T11:28:29.673 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:28:42.417 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:28:42.419 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:28:42.704 | main] INFO       ... Clicked on Financial Services heading successfully ...
[02-05-2024T11:28:53.153 | main] ERROR      ... Element not clickable within the time frame: Insurance ...
[02-05-2024T11:28:53.197 | main] INFO       ... Clicked on Insurance heading successfully ...
[02-05-2024T11:29:03.732 | main] ERROR      ... Element not clickable within the time frame: Life and Pensions ...
[02-05-2024T11:29:03.774 | main] INFO       ... Clicked on Life and Pensions heading successfully ...
[02-05-2024T11:29:14.180 | main] ERROR      ... Element not clickable within the time frame: Corporations and Non-Profits ...
[02-05-2024T11:29:14.217 | main] INFO       ... Clicked on Corporations and Non-Profits heading successfully ...
[02-05-2024T11:29:14.220 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:29:14.484 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T11:29:14.484 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T11:29:14.484 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T11:29:14.715 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T11:29:15.208 | main] INFO       ... WebDriver killed ...
