#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:36:44.886 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513875)\execution_log.txt ...
[02-05-2024T13:36:44.886 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:36:44.886 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:36:44.886 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:36:44.887 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:36:44.887 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:36:44.887 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:36:45.595 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:36:45.596 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:36:45.598 | main] INFO       ... Browser tab (8444355D611DE0C31E6E828C4BD65B38) allocated to the Home Page page ...
[02-05-2024T13:36:47.075 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:36:47.164 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:36:59.544 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:36:59.544 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:37:11.730 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:37:11.732 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:37:28.364 | main] INFO       ... Clicked on subcategory: Collections and Recovery ...
[02-05-2024T13:37:28.364 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:37:28.534 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:37:28.534 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:37:28.534 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:37:28.701 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:37:28.878 | main] INFO       ... WebDriver killed ...
