#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:56:21.526 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514516)\execution_log.txt ...
[02-05-2024T14:56:21.526 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:56:21.526 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:56:21.526 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:56:21.526 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:56:21.526 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:56:21.526 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:56:22.232 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:56:22.232 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:56:22.232 | main] INFO       ... Browser tab (3DCB70ED7AC06A01225483E02E5D44FF) allocated to the Home Page page ...
[02-05-2024T14:56:23.531 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:56:23.637 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:56:35.998 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:56:35.999 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:56:48.216 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:56:48.216 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:57:03.333 | main] INFO       ... Clicked on subcategory: Investigations and Due Diligence ...
[02-05-2024T14:57:03.335 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:57:03.549 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:57:03.549 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:57:03.550 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:57:03.724 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:57:03.959 | main] INFO       ... WebDriver killed ...
