#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:52:41.249 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514237)\execution_log.txt ...
[02-05-2024T14:52:41.249 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:52:41.249 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:52:41.250 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:52:41.250 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:52:41.250 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:52:41.251 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:52:41.969 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:52:41.969 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:52:41.973 | main] INFO       ... Browser tab (905E566910E9F3C6FFF37A625513217F) allocated to the Home Page page ...
[02-05-2024T14:52:42.769 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:52:43.425 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:52:55.906 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:52:55.908 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:53:08.122 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:53:08.124 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:53:25.270 | main] INFO       ... Clicked on subcategory: Financial Crime Compliance ...
[02-05-2024T14:53:25.272 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:53:25.488 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:53:25.488 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:53:25.489 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:53:25.722 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:53:25.926 | main] INFO       ... WebDriver killed ...
