#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:54:53.902 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514886)\execution_log.txt ...
[02-05-2024T14:54:53.902 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T14:54:53.902 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:54:53.902 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:54:53.902 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:54:53.902 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:54:53.903 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:54:54.717 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:54:54.717 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:54:54.720 | main] INFO       ... Browser tab (05171F58B7DA795952FE9C57500E373D) allocated to the Home Page page ...
[02-05-2024T14:54:55.636 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:54:56.250 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:55:08.589 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:55:08.589 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:55:20.784 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:55:20.785 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:55:37.332 | main] INFO       ... Clicked on subcategory: Credit Risk Assessment ...
[02-05-2024T14:55:37.333 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:55:37.571 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:55:37.571 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:55:37.571 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:55:37.764 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:55:37.943 | main] INFO       ... WebDriver killed ...
