#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:23:34.735 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513723)\execution_log.txt ...
[02-05-2024T13:23:34.735 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:23:34.735 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:23:34.735 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:23:34.736 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:23:34.736 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:23:34.736 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:23:35.387 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:23:35.388 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:23:35.392 | main] INFO       ... Browser tab (6809171495B68161A8988462D5F9A465) allocated to the Home Page page ...
[02-05-2024T13:23:36.616 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:23:36.719 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:23:49.087 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:23:49.088 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:24:01.372 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:24:01.372 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:24:16.252 | main] INFO       ... Clicked on subcategory: Home Insurance Solutions ...
[02-05-2024T13:24:16.252 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:24:16.457 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:24:16.457 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:24:16.457 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:24:16.650 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:24:16.832 | main] INFO       ... WebDriver killed ...
