#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:15:30.217 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515217)\execution_log.txt ...
[02-05-2024T15:15:30.217 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T15:15:30.217 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:15:30.217 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:15:30.217 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:15:30.217 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:15:30.217 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:15:30.936 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:15:30.936 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:15:30.936 | main] INFO       ... Browser tab (004010F864A60D9AFABC03B5BD2FE3C3) allocated to the Home Page page ...
[02-05-2024T15:15:32.018 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:15:32.652 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:15:44.979 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:15:44.979 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:15:57.163 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:15:57.165 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:16:13.768 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[02-05-2024T15:16:13.769 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:16:13.950 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:16:13.950 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:16:13.950 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:16:14.120 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:16:14.298 | main] INFO       ... WebDriver killed ...
