#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:18:26.984 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513973)\execution_log.txt ...
[02-05-2024T13:18:26.984 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:18:26.984 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:18:26.984 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:18:26.985 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:18:26.985 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:18:26.985 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:18:27.650 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:18:27.651 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:18:27.656 | main] INFO       ... Browser tab (C8522F2C2734034E62DF773237FFA281) allocated to the Home Page page ...
[02-05-2024T13:18:29.300 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:18:29.404 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:18:41.859 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:18:41.860 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:18:54.075 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:18:54.075 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:19:09.893 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[02-05-2024T13:19:09.894 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:19:10.164 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:19:10.164 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:19:10.165 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:19:10.476 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:19:10.709 | main] INFO       ... WebDriver killed ...
