#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:10:31.673 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515656)\execution_log.txt ...
[02-05-2024T15:10:31.673 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T15:10:31.673 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:10:31.673 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:10:31.673 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:10:31.673 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:10:31.673 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:10:32.427 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:10:32.428 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:10:32.432 | main] INFO       ... Browser tab (3626ED640CD3E2DD15C79C0AA6016B0A) allocated to the Home Page page ...
[02-05-2024T15:10:33.279 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:10:33.902 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:10:46.325 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:10:46.325 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:10:58.564 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:10:58.564 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:11:14.400 | main] INFO       ... Clicked on subcategory: Financial Crime Compliance ...
[02-05-2024T15:11:14.401 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:11:14.567 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:11:14.567 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:11:14.567 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:11:14.726 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:11:14.907 | main] INFO       ... WebDriver killed ...
