#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T14:51:54.365 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T14_46_46_000\Test(020514342)\execution_log.txt ...
[02-05-2024T14:51:54.369 | main] INFO       ... Initiating new Test Scenario: Verify elements under "Choose Your Industry" are present and clickable ...
[02-05-2024T14:51:54.369 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T14:51:54.377 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T14:51:54.377 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T14:51:54.397 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T14:51:54.398 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T14:51:55.957 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T14:51:55.957 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T14:51:55.961 | main] INFO       ... Browser tab (84E7A188E71608B72D5460D215CF876B) allocated to the Home Page page ...
[02-05-2024T14:51:57.078 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T14:51:57.709 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:52:10.115 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T14:52:10.116 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:52:10.255 | main] INFO       ... Clicked on Financial Services heading successfully ...
[02-05-2024T14:52:20.375 | main] ERROR      ... Element not clickable within the time frame: Insurance ...
[02-05-2024T14:52:20.395 | main] INFO       ... Clicked on Insurance heading successfully ...
[02-05-2024T14:52:30.542 | main] ERROR      ... Element not clickable within the time frame: Life and Pensions ...
[02-05-2024T14:52:30.564 | main] INFO       ... Clicked on Life and Pensions heading successfully ...
[02-05-2024T14:52:40.725 | main] ERROR      ... Element not clickable within the time frame: Corporations and Non-Profits ...
[02-05-2024T14:52:40.740 | main] INFO       ... Clicked on Corporations and Non-Profits heading successfully ...
[02-05-2024T14:52:40.742 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T14:52:40.890 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T14:52:40.890 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T14:52:40.890 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T14:52:41.049 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T14:52:41.227 | main] INFO       ... WebDriver killed ...
