#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:24:16.843 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513837)\execution_log.txt ...
[02-05-2024T13:24:16.844 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:24:16.844 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:24:16.844 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:24:16.845 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:24:16.845 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:24:16.845 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:24:17.494 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:24:17.494 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:24:17.497 | main] INFO       ... Browser tab (A024797190480F2AF716D4DA19FECB82) allocated to the Home Page page ...
[02-05-2024T13:24:19.118 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:24:19.212 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:24:31.596 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:24:31.598 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:24:43.821 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:24:43.821 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:24:58.606 | main] INFO       ... Clicked on subcategory: Motor Insurance Solutions ...
[02-05-2024T13:24:58.607 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:24:58.800 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:24:58.800 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:24:58.800 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:24:58.982 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:24:59.169 | main] INFO       ... WebDriver killed ...
