#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:36:01.369 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513361)\execution_log.txt ...
[02-05-2024T13:36:01.370 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:36:01.370 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:36:01.370 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:36:01.371 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:36:01.371 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:36:01.371 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:36:02.091 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:36:02.091 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:36:02.095 | main] INFO       ... Browser tab (F0A3EDA3E5A3320224065EE74B54AACE) allocated to the Home Page page ...
[02-05-2024T13:36:03.220 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:36:03.837 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:36:16.183 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:36:16.184 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:36:28.348 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:36:28.349 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:36:44.333 | main] INFO       ... Clicked on subcategory: Credit Risk Assessment ...
[02-05-2024T13:36:44.335 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:36:44.505 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:36:44.505 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:36:44.506 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:36:44.683 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:36:44.867 | main] INFO       ... WebDriver killed ...
