#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T11:30:52.793 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T11_17_07_000\Test(020511777)\execution_log.txt ...
[02-05-2024T11:30:52.793 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T11:30:52.793 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T11:30:52.793 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T11:30:52.793 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T11:30:52.793 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T11:30:52.809 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T11:30:53.827 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T11:30:53.827 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T11:30:53.827 | main] INFO       ... Browser tab (05DF204A6B43DC11373787599346A9EC) allocated to the Home Page page ...
[02-05-2024T11:30:55.274 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T11:30:55.964 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:31:08.537 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:31:08.538 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:31:20.992 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:31:20.992 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:31:41.503 | main] INFO       ... Clicked on subcategory: Customer Data Management ...
[02-05-2024T11:31:41.504 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:31:41.927 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T11:31:41.927 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T11:31:41.927 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T11:31:42.508 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T11:31:42.767 | main] INFO       ... WebDriver killed ...
