#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T11:32:29.037 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T11_17_07_000\Test(020511006)\execution_log.txt ...
[02-05-2024T11:32:29.037 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T11:32:29.037 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T11:32:29.037 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T11:32:29.037 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T11:32:29.037 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T11:32:29.037 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T11:32:30.503 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T11:32:30.504 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T11:32:30.510 | main] INFO       ... Browser tab (1A089CB5AFF928A55AB1B1A470FDDF01) allocated to the Home Page page ...
[02-05-2024T11:32:32.129 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T11:32:32.283 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:32:44.813 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:32:44.813 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:32:57.091 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:32:57.092 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:33:13.442 | main] INFO       ... Clicked on subcategory: Collections and Recovery ...
[02-05-2024T11:33:13.443 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:33:13.767 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T11:33:13.767 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T11:33:13.767 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T11:33:14.066 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T11:33:14.311 | main] INFO       ... WebDriver killed ...
