#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:39:40.027 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513019)\execution_log.txt ...
[02-05-2024T13:39:40.028 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:39:40.028 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:39:40.028 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:39:40.028 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:39:40.028 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:39:40.029 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:39:40.806 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:39:40.806 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:39:40.809 | main] INFO       ... Browser tab (F8592D468A3D115B58EEB0A8620FF997) allocated to the Home Page page ...
[02-05-2024T13:39:42.555 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:39:42.643 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:39:55.023 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:39:55.024 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:40:07.217 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:40:07.218 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:40:21.270 | main] INFO       ... Clicked on subcategory: Home Insurance Solutions ...
[02-05-2024T13:40:21.272 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:40:21.429 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:40:21.429 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:40:21.429 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:40:21.582 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:40:21.773 | main] INFO       ... WebDriver killed ...
