#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:14:04.953 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515943)\execution_log.txt ...
[02-05-2024T15:14:04.953 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T15:14:04.953 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:14:04.953 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:14:04.954 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:14:04.954 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:14:04.954 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:14:05.657 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:14:05.657 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:14:05.661 | main] INFO       ... Browser tab (6E234A11BEF86B09C2B040AF6C6BC16A) allocated to the Home Page page ...
[02-05-2024T15:14:06.493 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:14:07.128 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:14:19.480 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:14:19.480 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:14:31.696 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:14:31.696 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:14:48.228 | main] INFO       ... Clicked on subcategory: Investigations and Due Diligence ...
[02-05-2024T15:14:48.228 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:14:48.413 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:14:48.413 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:14:48.413 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:14:48.569 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:14:49.108 | main] INFO       ... WebDriver killed ...
