#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T11:35:37.646 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T11_17_07_000\Test(020511630)\execution_log.txt ...
[02-05-2024T11:35:37.646 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T11:35:37.646 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T11:35:37.646 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T11:35:37.662 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T11:35:37.662 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T11:35:37.662 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T11:35:38.572 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T11:35:38.572 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T11:35:38.575 | main] INFO       ... Browser tab (D05EFF92B60C548144A6B4F5FFAE6B6F) allocated to the Home Page page ...
[02-05-2024T11:35:40.189 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T11:35:40.890 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:35:53.857 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:35:53.857 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:36:06.165 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:36:06.166 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:36:21.626 | main] INFO       ... Clicked on subcategory: Home Insurance Solutions ...
[02-05-2024T11:36:21.628 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:36:22.049 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T11:36:22.049 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T11:36:22.049 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T11:36:22.433 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T11:36:22.817 | main] INFO       ... WebDriver killed ...
