#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:20:39.635 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513628)\execution_log.txt ...
[02-05-2024T13:20:39.635 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:20:39.636 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:20:39.636 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:20:39.636 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:20:39.636 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:20:39.636 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:20:40.357 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:20:40.357 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:20:40.362 | main] INFO       ... Browser tab (1250320646167B1835CA13C10023C8DE) allocated to the Home Page page ...
[02-05-2024T13:20:41.999 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:20:42.089 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:20:54.479 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:20:54.482 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:21:06.670 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:21:06.671 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:21:22.335 | main] INFO       ... Clicked on subcategory: Collections and Recovery ...
[02-05-2024T13:21:22.337 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:21:22.500 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:21:22.500 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:21:22.500 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:21:22.687 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:21:22.927 | main] INFO       ... WebDriver killed ...
