#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:19:10.729 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513717)\execution_log.txt ...
[02-05-2024T13:19:10.729 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:19:10.729 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:19:10.730 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:19:10.730 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:19:10.730 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:19:10.730 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:19:11.404 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:19:11.405 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:19:11.409 | main] INFO       ... Browser tab (DFF624484D1CCC8F22947D3E7417C373) allocated to the Home Page page ...
[02-05-2024T13:19:12.650 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:19:13.254 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:19:25.636 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:19:25.638 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:19:37.832 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:19:37.834 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:19:55.653 | main] INFO       ... Clicked on subcategory: Customer Data Management ...
[02-05-2024T13:19:55.654 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:19:55.807 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:19:55.807 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:19:55.808 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:19:55.981 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:19:56.169 | main] INFO       ... WebDriver killed ...
