#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T13:21:22.945 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T13_06_50_000\Test(020513933)\execution_log.txt ...
[02-05-2024T13:21:22.945 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T13:21:22.946 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T13:21:22.946 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T13:21:22.946 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T13:21:22.946 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T13:21:22.946 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T13:21:23.601 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T13:21:23.601 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T13:21:23.606 | main] INFO       ... Browser tab (1AB921B3DF4B87877440939592895A81) allocated to the Home Page page ...
[02-05-2024T13:21:24.740 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T13:21:25.358 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:21:37.668 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:21:37.669 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:21:49.859 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T13:21:49.860 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:22:06.508 | main] INFO       ... Clicked on subcategory: Investigations and Due Diligence ...
[02-05-2024T13:22:06.510 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T13:22:06.694 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T13:22:06.694 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T13:22:06.694 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T13:22:06.880 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T13:22:07.071 | main] INFO       ... WebDriver killed ...
